үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
335.0,"Хан-Уул, Зайсан",Паркет,1,2012.0,0,Вакум,6.0,Бүргэд,134.0,1.0,0,5.0,1
142.0,"Баянгол, Баянгол, Хороо 20",Паркет,1,2019.0,0,Вакум,16.0,Төмөр вакум,45.0,16.0,0,2.0,1
188.21,"Хан-Уул, Хан-Уул, Хороо 24",Паркет,1,2015.0,0,Модон вакум,16.0,Бүргэд,64.9,11.0,1,3.0,1
210.0,"Баянгол, Богд-Ар",Паркет,1,2009.0,0,Вакум,16.0,Мод,67.0,12.0,0,3.0,1
190.0,"Хан-Уул, Зайсан",Паркет,1,2012.0,0,Вакум,9.0,Төмөр вакум,58.66,4.0,1,2.0,1
145.0,"Хан-Уул, Яармаг",Паркет,1,2022.0,0,Вакум,9.0,Бүргэд,46.48,4.0,0,2.0,1
450.0,"Хан-Уул, Яармаг",Паркет,1,2024.0,0,Вакум,7.0,Бүргэд,100.0,2.0,0,4.0,1
150.0,"Чингэлтэй, Баянбүрд",Паркет,1,2023.0,0,Вакум,16.0,Бүргэд,45.42,10.0,1,2.0,1
217.14999999999998,"Хан-Уул, Хан-Уул, Хороо 4",Паркет,1,2022.0,0,Вакум,12.0,Бүргэд,50.5,6.0,0,3.0,1
521.0,"Хан-Уул, 120 мянгат",Паркет,3,2012.0,1,Вакум,4.0,Бүргэд,208.4,2.0,1,7.0,1
120.0,"Баянгол, 3, 4 хороолол",Паркет,1,2005.0,0,Төмөр вакум,9.0,Төмөр вакум,38.01,6.0,0,2.0,1
345.0,"Хан-Уул, Яармаг",Паркет,1,2024.0,0,Вакум,14.0,Бүргэд,73.5,8.0,1,4.0,1
96.0,"Сүхбаатар, Сүхбаатар, Хороо 11",Паркет,1,2019.0,0,Вакум,14.0,Бүргэд,36.5,14.0,1,2.0,1
442.81300000000005,"Хан-Уул, Хан-Уул, Хороо 15",Паркет,1,2024.0,0,Вакум,16.0,Бүргэд,90.37,1.0,0,5.0,1
279.45,"Баянгол, 3, 4 хороолол",Паркет,1,2009.0,0,Вакум,9.0,Бүргэд,81.0,5.0,0,4.0,1
250.0,"Хан-Уул, Зайсан",Паркет,1,2022.0,0,Вакум,12.0,Бүргэд,45.1,7.0,0,3.0,1
250.0,"Баянзүрх, 13-р хороолол",Паркет,2,2011.0,1,Вакум,10.0,Бүргэд,91.3,6.0,0,5.0,1
340.0,"Баянзүрх, 13-р хороолол",Паркет,2,2010.0,0,Вакум,12.0,Бүргэд,100.8,11.0,0,4.0,1
125.0,"Баянгол, Баянгол, Хороо 2",Паркет,1,2005.0,0,Вакум,6.0,Бүргэд,40.3,6.0,0,2.0,1
179.28,"Хан-Уул, Хан-Уул, Хороо 20",Паркет,0,2015.0,0,Вакум,10.0,Бүргэд,59.76,5.0,0,3.0,1
565.0,"Хан-Уул, Japan town",Паркет,1,2008.0,1,Вакум,7.0,Төмөр,93.0,6.0,0,4.0,1
350.0,"Хан-Уул, Зайсан",Паркет,1,2010.0,1,Вакум,6.0,Бүргэд,160.0,5.0,1,5.0,1
630.0,"Баянзүрх, РЦНК",Паркет,1,2008.0,1,Вакум,10.0,Бүргэд,185.35,8.0,0,5.0,1
559.9725,"Хан-Уул, Хан-Уул, Хороо 15",Паркет,2,2010.0,0,Мод,3.0,Бүргэд,189.5,4.0,1,6.0,1
387.0,"Хан-Уул, Хан-Уул, Хороо 3",Паркет,1,2006.0,1,Вакум,12.0,Бүргэд,90.0,11.0,1,4.0,1
350.0,"Сүхбаатар, Бага тойрог",Паркет,2,1998.0,0,Вакум,7.0,Төмөр,90.0,2.0,0,4.0,1
665.0,"Баянзүрх, Баянзүрх, Хороо 26",Паркет,2,2010.0,0,Вакум,16.0,Бүргэд,180.0,2.0,1,8.0,1
150.0,"Баянгол, 10-р хороолол",Паркет,1,1980.0,0,Вакум,5.0,Бүргэд,50.0,3.0,0,3.0,1
260.0,"Хан-Уул, Яармаг",Паркет,1,2023.0,0,Вакум,9.0,Төмөр,80.0,2.0,1,4.0,1
253.98,"Хан-Уул, Хан-Уул, Хороо 19",Паркет,1,2015.0,1,Вакум,16.0,Бүргэд,70.55,12.0,1,3.0,1
182.0,"Баянзүрх, Зүүн 4 зам",Паркет,1,2014.0,0,Вакум,10.0,Бүргэд,53.56,10.0,0,3.0,1
