үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
330000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 20",,,,,,,,160 м²,,Лизинггүй,,Ашиглалтад орсон
616000000.00,"УБ — Баянгол, Төмөр зам",Паркет,2 тагттай,2024,Байхгүй,Вакум,16,Төмөр,116.0 м²,12,Лизинггүй,4,Ашиглалтад орсон
623650000.00,"УБ — Хан-Уул, Хүннү",Паркет,2 тагттай,2018,Байхгүй,Вакум,19,Вакум,118.0 м²,5,Банкны лизингтэй,5,Ашиглалтад орсон
775500000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 4",,,,,,,,165 м²,,Банкны лизингтэй,,Ашиглалтад орсон
730000000.00,"УБ — Хан-Уул, Яармаг",,,,,,,,184 м²,,Банкны лизингтэй,,Ашиглалтад орсон
577300000.00,"УБ — Хан-Уул, Яармаг",Паркет,1 тагттай,2023,Байгаа,Вакум,12,Төмөр,134.26 м²,12,Банкны лизингтэй,5,Ашиглалтад орсон
4950000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,100.0 м²,2,Лизинггүй,4,Ашиглалтад орсон
98000000.00,"УБ — Баянзүрх, Өгөөмөр захын зүүн",Паркет,1 тагттай,2019,Байхгүй,Вакум,12,Бүргэд,33.04 м²,2,Лизинггүй,1,Ашиглалтад орсон
1000000000.00,"Дархан-Уул, Дархан-Уул",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
1316520000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2022,Байгаа,Вакум,18,Бүргэд,143.0 м²,15,Банкны лизингтэй,5,Ашиглалтад орсон
1200000000.00,УБ — Баянгол,,,,,,,,,,Лизинггүй,,
90000000.00,"УБ — Сүхбаатар, Бэлх",,,,,,,,,,Лизинггүй,,
