,үнэ,хаяг,Тагт:,Гараж:,Барилгын давхар:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Нас,Цонх:_Бусад,Цонх:_Вакум,Дүүрэг_Баянгол,Дүүрэг_Баянзүрх,Дүүрэг_Налайх,Дүүрэг_Сонгинохайрхан,Дүүрэг_Сүхбаатар,Дүүрэг_Хан-Уул,Дүүрэг_Чингэлтэй,Хаалга:_Бусад,Хаалга:_Бүргэд,Хаалга:_Төмөр,Шал:_Бусад,Шал:_Паркет
481,336.0,Зайсан,0,0,4.0,96.0,4.0,0,5.0,1,4.0,True,False,False,False,False,False,False,True,False,False,True,False,False,True
482,630.0,Хан-Уул,2,0,16.0,113.0,8.0,0,5.0,1,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
483,475.0,King Tower,0,1,20.0,113.0,13.0,0,4.0,1,4.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
484,285.0,13-р хороолол,1,0,12.0,71.0,12.0,0,4.0,1,15.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
485,665.5,Хан-Уул,1,0,16.0,121.0,10.0,0,3.0,1,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
486,410.0,Зайсан,0,0,16.0,76.8,15.0,1,2.0,1,2.0,True,False,False,False,False,False,False,True,False,False,False,True,True,False
487,264.86,Офицер,1,0,16.0,77.9,9.0,1,3.0,1,0.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
488,180.0,Зүүн 4 зам,1,0,12.0,50.0,10.0,0,2.0,1,14.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
489,420.0,Монгол Улсын Их Сургууль,1,0,16.0,70.0,7.0,1,3.0,1,1.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
490,187.0,13-р хороолол,1,0,10.0,53.0,10.0,0,3.0,1,10.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
491,185.0,Нисэх,0,1,16.0,61.0,4.0,0,3.0,1,2.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
492,141.98,Яармаг,1,0,12.0,45.0,5.0,0,3.0,0,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
493,154.425,Баянзүрх,1,0,16.0,61.77,14.0,0,3.0,1,1.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
494,227.5155,Яармаг,1,0,16.0,79.83,15.0,0,3.0,1,4.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
495,259.8,Зайсан,1,1,16.0,69.28,12.0,0,2.0,1,1.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
496,162.0,Нисэх,1,1,2.0,90.0,2.0,0,5.0,1,5.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
497,190.0,Зүүн 4 зам,1,0,12.0,47.5,8.0,0,2.0,1,4.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
498,319.0,Сансар,1,0,25.0,55.0,22.0,1,2.0,1,0.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
