үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:
475000000.00,"УБ — Хан-Уул, Хансвилл хотхон",Паркет,1 тагттай,2022,Байхгүй,Вакум,15,Төмөр,108.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,
136770000.00,"УБ — Чингэлтэй, Баянбүрд",Паркет,1 тагттай,2024,Байгаа,Вакум,13,Бүргэд,45.59 м²,11,Лизинггүй,2,Ашиглалтад ороогүй,
185000000.00,"УБ — Налайх, Налайх, Хороо 2",Паркет,2 тагттай,2022,Байгаа,Вакум,9,Бүргэд,67.0 м²,2,Банкны лизингтэй,3,Ашиглалтад орсон,
594000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 6",Паркет,1 тагттай,2016,Байхгүй,Вакум,6,Бүргэд,132.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,
134160000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 9",Паркет,1 тагттай,2024,Байхгүй,Вакум,13,Бүргэд,49.69 м²,3,Лизинггүй,2,Ашиглалтад ороогүй,
148000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2017,Байхгүй,Вакум,12,Бүргэд,59.0 м²,3,Хувь лизингтэй,3,Ашиглалтад орсон,
156000000.00,"УБ — Баянзүрх, Офицер",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,55.67 м²,6,Лизинггүй,2,Ашиглалтад орсон,
245660000.00,"УБ — Чингэлтэй, Чингэлтэй, Хороо 9",Паркет,2 тагттай,2024,Байхгүй,Вакум,13,Бүргэд,76.77 м²,2,Лизинггүй,4,Ашиглалтад орсон,
250000000.00,УБ — Хан-Уул,Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,79.0 м²,6,Лизинггүй,3,Ашиглалтад орсон,
362000000.00,"УБ — Хан-Уул, Нархан хотхон",Паркет,Тагтгүй,2011,Байгаа,Вакум,8,Төмөр,124.0 м²,2,Лизинггүй,4,Ашиглалтад орсон,
185500000.00,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,2 тагттай,2013,Байгаа,Вакум,12,Бүргэд,71.0 м²,12,Лизинггүй,4,Ашиглалтад орсон,
405000000.00,"УБ — Баянзүрх, Их Монгол хороолол",Паркет,Тагтгүй,2018,Байгаа,Вакум,16,Төмөр,89.0 м²,5,Лизинггүй,3,Ашиглалтад орсон,
575000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 18",Паркет,1 тагттай,2022,Байхгүй,Вакум,16,Бүргэд,106.0 м²,6,Банкны лизингтэй,4,Ашиглалтад орсон,
195000000.00,"УБ — Хан-Уул, Арцатын ам",Паркет,1 тагттай,2024,Байхгүй,Төмөр вакум,14,Төмөр,63.0 м²,13,Банкны лизингтэй,3,Ашиглалтад орсон,
341370000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,2 тагттай,2024,Байгаа,Төмөр вакум,8,Төмөр,76.0 м²,4,Хувь лизингтэй,3,Ашиглалтад ороогүй,
341000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2012,Байгаа,Вакум,9,Бүргэд,110.0 м²,7,Лизинггүй,3,Ашиглалтад орсон,
150000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 1",Паркет,1 тагттай,2018,Байхгүй,Вакум,10,Бүргэд,54.5 м²,1,Лизинггүй,3,Ашиглалтад орсон,
225000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 43",Паркет,1 тагттай,2014,Байхгүй,Вакум,15,Төмөр,75.16 м²,7,Банкны лизингтэй,4,Ашиглалтад орсон,
340000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2015,Байгаа,Вакум,13,Төмөр вакум,117.0 м²,13,Лизинггүй,4,Ашиглалтад орсон,
244475000.00,"УБ — Хан-Уул, Яармаг",Паркет,Тагтгүй,2023,Байхгүй,Вакум,16,Төмөр вакум,69.85 м²,5,Лизинггүй,3,Ашиглалтад орсон,
166000000.00,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 19",Паркет,1 тагттай,2024,Байхгүй,Вакум,10,Төмөр вакум,51.0 м²,6,Лизинггүй,2,Ашиглалтад орсон,
