үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
720.0,"УБ — Хан-Уул, Хүннү",Паркет,1,2018,1,Вакум,7,Бүргэд,145.0,7,1,6,1
220.0,"УБ — Баянгол, Нарны хороолол",Паркет,1,2015,0,Вакум,12,Бүргэд,50.69,10,0,2,1
135.0,"УБ — Баянгол, Гэмтэл согог судлалын үндэсний төв",Паркет,1,2014,0,Вакум,5,Бүргэд,51.0,4,0,3,1
385.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2010,1,Вакум,10,Бүргэд,125.0,4,0,7,1
221.34000000000003,"УБ — Баянгол, 3, 4 хороолол",Паркет,1,2024,0,Вакум,16,Бүргэд,71.4,9,0,3,1
135.0,"УБ — Баянзүрх, 14-р хороолол",Ламинат,1,2018,0,Төмөр вакум,9,Төмөр,40.0,6,0,2,1
338.8,"Төв, Төв",Паркет,2,2023,0,Вакум,12,Бүргэд,121.0,2,1,8,1
155.0,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,1,2013,1,Вакум,10,Бүргэд,47.0,10,0,3,1
127.0,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 7",Паркет,1,2015,0,Вакум,9,Бүргэд,53.0,9,0,2,1
112.0,"УБ — Баянзүрх, Баянзүрх дүүрэг",Паркет,1,2024,0,Вакум,16,Төмөр,35.47,13,0,2,1
850.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2024,0,Вакум,10,Төмөр,178.0,3,1,6,1
554.6999999999999,"УБ — Баянзүрх, Олимп хотхон",Паркет,2,2017,1,Вакум,16,Бүргэд,129.0,13,0,5,1
767.992,"УБ — Баянгол, Баруун 4 зам",Паркет,2,2024,1,Вакум,15,Бүргэд,112.94,10,0,4,1
630.4935,"УБ — Хан-Уул, Хан-Уул, Хороо 20",Паркет,1,2024,1,Вакум,25,Бүргэд,135.59,11,0,7,1
210.0,"УБ — Баянгол, Төмөр зам",Паркет,2,1993,0,Вакум,5,Бүргэд,75.0,1,0,4,1
220.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 10",Паркет,1,1989,0,Вакум,4,Бүргэд,80.0,4,0,4,1
182.0,"УБ — Баянзүрх, Зүүн 4 зам",Паркет,1,2014,0,Вакум,10,Бүргэд,53.56,10,0,3,1
408.77,"УБ — Сүхбаатар, Сүхбаатар, Хороо 4",Паркет,2,2003,1,Вакум,6,Бүргэд,99.7,6,1,4,1
177.57,"УБ — Баянгол, 10-р хороолол",Паркет,1,2008,1,Вакум,9,Бүргэд,59.19,8,0,4,1
75.0,"УБ — Сонгинохайрхан, 1-р хороолол",Паркет,0,1990,0,Вакум,9,Бүргэд,36.0,1,0,1,1
628.52,"УБ — Баянзүрх, Баянзүрх, Хороо 3",Мод,2,2011,1,Вакум,9,Төмөр вакум,165.4,6,0,7,1
75.0,"УБ — Баянзүрх, 14-р хороолол",Паркет,1,2024,0,Вакум,12,Төмөр,22.3,5,0,1,0
