үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:,Код:,location:
160000000.00,"УБ — Баянгол, Баянгол, Хороо 1",Паркет,Тагтгүй,2017,Байхгүй,Вакум,5,Бүргэд,60.0 м²,5,Лизинггүй,3,Ашиглалтад орсон,,,
2200000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,3+ тагттай,2020,Байгаа,Вакум,6,Бүргэд,286.0 м²,6,Лизинггүй,6,Ашиглалтад орсон,,,
590000000.00,"УБ — Сүхбаатар, Хүнсний 50-р дэлгүүр",Паркет,2 тагттай,2003,Байгаа,Вакум,6,Төмөр,93.0 м²,4,Лизинггүй,5,Ашиглалтад орсон,,,
80000000.00,"УБ — Сонгинохайрхан, 21-р хороолол",Паркет,1 тагттай,2012,Байхгүй,Вакум,13,Бүргэд,30.0 м²,10,Лизинггүй,2,Ашиглалтад орсон,,,
761328000.00,"УБ — Хан-Уул, Хүннү",Паркет,3+ тагттай,2022,Байхгүй,Вакум,10,Бүргэд,158.61 м²,6,Лизинггүй,7,Ашиглалтад орсон,,,
70000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 2",Паркет,1 тагттай,2016,Байхгүй,Вакум,5,Бүргэд,23.0 м²,4,Лизинггүй,1,Ашиглалтад орсон,,,
320000000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2017,Байгаа,Вакум,10,Бүргэд,106.5 м²,4,Лизинггүй,6,Ашиглалтад орсон,,,
350000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 25",Паркет,1 тагттай,2015,Байхгүй,Вакум,16,Бүргэд,74.0 м²,4,Банкны лизингтэй,4,Ашиглалтад орсон,,,
210000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,2 тагттай,2010,Байгаа,Вакум,6,Бүргэд,105.0 м²,4,Лизинггүй,4,Ашиглалтад орсон,,,
235000000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2019,Байхгүй,Вакум,12,Бүргэд,56.0 м²,10,Лизинггүй,3,Ашиглалтад орсон,,,
5900000.00,"УБ — Баянзүрх, 14-р хороолол",Паркет,2 тагттай,2024,Байхгүй,Вакум,22,Төмөр,134.0 м²,20,Банкны лизингтэй,6,Ашиглалтад орсон,,,
7000000.00,"УБ — Хан-Уул, Зайсан",Паркет,3+ тагттай,2014,Байгаа,Төмөр вакум,19,Бүргэд,300.0 м²,18,Банкны лизингтэй,8,Ашиглалтад орсон,,,
2900000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2014,Байхгүй,Вакум,6,Бүргэд,148.0 м²,2,Банкны лизингтэй,5,Ашиглалтад орсон,,,
209786000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 43",Паркет,1 тагттай,2014,Байхгүй,Вакум,9,Бүргэд,72.34 м²,9,Банкны лизингтэй,3,Ашиглалтад орсон,,,
5500000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1 тагттай,2023,Байгаа,Вакум,17,Бүргэд,102.0 м²,3,Банкны лизингтэй,5,Ашиглалтад орсон,,,
84000000.00,"УБ — Хан-Уул, Viva city",Паркет,Тагтгүй,2013,Байхгүй,Вакум,5,Бүргэд,30.5 м²,5,Лизинггүй,2,Ашиглалтад орсон,,,
115000000.00,"УБ — Хан-Уул, 19-р хороолол",Паркет,1 тагттай,1990,Байхгүй,Вакум,5,Бүргэд,16.0 м²,5,Лизинггүй,2,Ашиглалтад орсон,,,
510000000.00,"УБ — Баянзүрх, Чингис зочид буудал",Паркет,1 тагттай,2010,Байхгүй,Вакум,10,Бүргэд,150.0 м²,10,Лизинггүй,5,Ашиглалтад орсон,,,
2700000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 16",Паркет,Тагтгүй,2021,Байхгүй,Вакум,12,Вакум,39.98 м²,2,Лизинггүй,2,Ашиглалтад орсон,,,
4500000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,2 тагттай,2016,Байгаа,Вакум,16,Бүргэд,115.86 м²,7,Лизинггүй,5,Ашиглалтад орсон,,,
160000000.00,"УБ — Баянгол, 6-р бичил",Цемент,2 тагттай,1994,Байхгүй,Вакум,9,Бүргэд,70.0 м²,8,Лизинггүй,4,Ашиглалтад орсон,,,
1316520000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1 тагттай,2022,Байгаа,Вакум,18,Бүргэд,143.0 м²,15,Банкны лизингтэй,5,Ашиглалтад орсон,,,
350000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 22",Паркет,2 тагттай,2010,Байгаа,Вакум,10,Бүргэд,149.94 м²,10,Банкны лизингтэй,6,Ашиглалтад орсон,,,
1000000000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2011,Байгаа,Модон вакум,3,Төмөр вакум,326.0 м²,2,Лизинггүй,8,Ашиглалтад орсон,,,
1365000000.00,"УБ — Сүхбаатар, Цирк",Паркет,1 тагттай,2021,Байгаа,Вакум,10,Бүргэд,210.0 м²,10,Банкны лизингтэй,6,Ашиглалтад орсон,,,
387651000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,1 тагттай,2022,Байхгүй,Вакум,15,Төмөр,117.47 м²,5,Лизинггүй,4,Ашиглалтад орсон,,,
1773660000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2023,Байгаа,Вакум,23,Төмөр,216.0 м²,5,Лизинггүй,6,Ашиглалтад орсон,,,
